timestamp,status,confidence,ground_truth
1772014192.4099617,CALIBRATING,0.0,0
1772014192.450743,CALIBRATING,0.0,0
1772014192.4681542,CALIBRATING,0.0,0
1772014192.499747,CALIBRATING,0.0,0
1772014192.51513,CALIBRATING,0.0,0
1772014192.5395439,CALIBRATING,0.0,0
1772014192.571781,CALIBRATING,0.0,0
1772014192.602391,CALIBRATING,0.0,0
1772014192.6326234,CALIBRATING,0.0,0
1772014192.6816175,CALIBRATING,0.0,0
1772014192.713954,CALIBRATING,0.0,0
1772014192.7464087,CALIBRATING,0.0,0
1772014192.7786212,CALIBRATING,0.0,0
1772014192.811766,CALIBRATING,0.0,0
1772014192.8439133,CALIBRATING,0.0,0
1772014192.8747842,CALIBRATING,0.0,0
1772014192.9068828,CALIBRATING,0.0,0
1772014192.9397657,CALIBRATING,0.0,0
1772014192.9694548,CALIBRATING,0.0,0
1772014193.0019908,CALIBRATING,0.0,0
1772014193.0361595,CALIBRATING,0.0,0
1772014193.0819259,CALIBRATING,0.0,0
1772014193.115764,CALIBRATING,0.0,0
1772014193.1454806,CALIBRATING,0.0,0
1772014193.179449,CALIBRATING,0.0,0
1772014193.214018,CALIBRATING,0.0,0
1772014193.244212,CALIBRATING,0.0,0
1772014193.2740242,CALIBRATING,0.0,0
1772014193.3081958,CALIBRATING,0.0,0
1772014193.3401732,CALIBRATING,0.0,0
1772014193.3707497,CALIBRATING,0.0,0
1772014193.4002419,CALIBRATING,0.0,0
1772014193.4319012,CALIBRATING,0.0,0
1772014193.4800692,CALIBRATING,0.0,0
1772014193.5146806,CALIBRATING,0.0,0
1772014193.5450468,CALIBRATING,0.0,0
1772014193.5775192,CALIBRATING,0.0,0
1772014193.6129675,CALIBRATING,0.0,0
1772014193.643032,CALIBRATING,0.0,0
1772014193.675054,CALIBRATING,0.0,0
1772014193.7039242,CALIBRATING,0.0,0
1772014193.737167,CALIBRATING,0.0,0
1772014193.7695503,CALIBRATING,0.0,0
1772014193.8015697,CALIBRATING,0.0,0
1772014193.8338995,CALIBRATING,0.0,0
1772014193.8819404,CALIBRATING,0.0,0
1772014193.9135513,CALIBRATING,0.0,0
1772014193.9460065,CALIBRATING,0.0,0
1772014193.9772458,CALIBRATING,0.0,0
1772014194.0107903,CALIBRATING,0.0,0
1772014194.0424137,CALIBRATING,0.0,0
1772014194.0754955,CALIBRATING,0.0,0
1772014194.1055844,CALIBRATING,0.0,0
1772014194.1366794,CALIBRATING,0.0,0
1772014194.1708467,CALIBRATING,0.0,0
1772014194.2024858,CALIBRATING,0.0,0
1772014194.234686,CALIBRATING,0.0,0
1772014194.2826781,CALIBRATING,0.0,0
1772014194.3150942,CALIBRATING,0.0,0
1772014194.3474636,CALIBRATING,0.0,0
1772014194.3792222,CALIBRATING,0.0,0
1772014194.4119577,CALIBRATING,0.0,0
1772014194.4435847,CALIBRATING,0.0,0
1772014194.4746537,CALIBRATING,0.0,0
1772014194.5070581,CALIBRATING,0.0,0
1772014194.5407186,CALIBRATING,0.0,0
1772014194.5699136,CALIBRATING,0.0,0
1772014194.6027768,CALIBRATING,0.0,0
1772014194.634979,CALIBRATING,0.0,0
1772014194.6824272,CALIBRATING,0.0,0
1772014194.7129517,CALIBRATING,0.0,0
1772014194.744723,CALIBRATING,0.0,0
1772014194.7753854,CALIBRATING,0.0,0
1772014194.8089972,CALIBRATING,0.0,0
1772014194.8415987,CALIBRATING,0.0,0
1772014194.8728526,CALIBRATING,0.0,0
1772014194.9047017,CALIBRATING,0.0,0
1772014194.9383283,CALIBRATING,0.0,0
1772014194.9696798,CALIBRATING,0.0,0
1772014195.0011158,CALIBRATING,0.0,0
1772014195.035603,CALIBRATING,0.0,0
1772014195.0821295,CALIBRATING,0.0,0
1772014195.1129735,CALIBRATING,0.0,0
1772014195.1455917,CALIBRATING,0.0,0
1772014195.1780815,CALIBRATING,0.0,0
1772014195.2102807,CALIBRATING,0.0,0
1772014195.2409441,CALIBRATING,0.0,0
1772014195.2742825,CALIBRATING,0.0,0
1772014195.3052008,CALIBRATING,0.0,0
1772014195.3383784,CALIBRATING,0.0,0
1772014195.369235,CALIBRATING,0.0,0
1772014195.4015195,CALIBRATING,0.0,0
1772014195.4319441,CALIBRATING,0.0,0
1772014195.4811912,CALIBRATING,0.0,0
1772014195.5133286,CALIBRATING,0.0,0
1772014195.5463598,CALIBRATING,0.0,0
1772014195.5798674,CALIBRATING,0.0,0
1772014195.611529,CALIBRATING,0.0,0
1772014195.643151,CALIBRATING,0.0,0
1772014195.6737363,CALIBRATING,0.0,0
1772014195.7078671,CALIBRATING,0.0,0
1772014195.7384777,CALIBRATING,0.0,0
1772014195.7712348,CALIBRATING,0.0,0
1772014195.8027363,CALIBRATING,0.0,0
1772014195.8326354,CALIBRATING,0.0,0
1772014195.8832343,CALIBRATING,0.0,0
1772014195.9148989,CALIBRATING,0.0,0
1772014195.9467773,CALIBRATING,0.0,0
1772014195.9788938,CALIBRATING,0.0,0
1772014196.0117002,CALIBRATING,0.0,0
1772014196.0435314,CALIBRATING,0.0,0
1772014196.0732012,CALIBRATING,0.0,0
1772014196.105165,CALIBRATING,0.0,0
1772014196.135319,CALIBRATING,0.0,0
1772014196.1701648,CALIBRATING,0.0,0
1772014196.201264,CALIBRATING,0.0,0
1772014196.234182,CALIBRATING,0.0,0
1772014196.2806377,CALIBRATING,0.0,0
1772014196.3119633,CALIBRATING,0.0,0
1772014196.3456254,CALIBRATING,0.0,0
1772014196.3780096,CALIBRATING,0.0,0
1772014196.4114745,CALIBRATING,0.0,0
1772014196.443535,CALIBRATING,0.0,0
1772014196.473116,CALIBRATING,0.0,0
1772014196.505732,CALIBRATING,0.0,0
1772014196.5358505,CALIBRATING,0.0,0
1772014196.5691621,CALIBRATING,0.0,0
1772014196.6016693,CALIBRATING,0.0,0
1772014196.650711,CALIBRATING,0.0,0
1772014196.6825001,CALIBRATING,0.0,0
1772014196.7137418,CALIBRATING,0.0,0
1772014196.7446256,CALIBRATING,0.0,0
1772014196.7779036,CALIBRATING,0.0,0
1772014196.8091466,CALIBRATING,0.0,0
1772014196.8514314,CALIBRATING,0.0,0
1772014196.88857,CALIBRATING,0.0,0
1772014196.9205506,CALIBRATING,0.0,0
1772014196.9514408,CALIBRATING,0.0,0
1772014196.9675643,CALIBRATING,0.0,0
1772014196.9995012,CALIBRATING,0.0,0
1772014197.0714252,CALIBRATING,0.0,0
1772014197.0849547,CALIBRATING,0.0,0
1772014197.1208434,CALIBRATING,0.0,0
1772014197.1563828,CALIBRATING,0.0,0
1772014197.1934674,CALIBRATING,0.0,0
1772014197.2092886,CALIBRATING,0.0,0
1772014197.242983,CALIBRATING,0.0,0
1772014197.2749033,CALIBRATING,0.0,0
1772014197.306279,CALIBRATING,0.0,0
1772014197.3379705,CALIBRATING,0.0,0
1772014197.37151,CALIBRATING,0.0,0
1772014197.3986917,CALIBRATING,0.0,0
1772014197.4490454,CALIBRATING,0.0,0
1772014197.480707,CALIBRATING,0.0,0
1772014197.512441,CALIBRATING,0.0,0
1772014197.5435047,CALIBRATING,0.0,0
1772014197.5777183,CALIBRATING,0.0,0
1772014197.6088428,CALIBRATING,0.0,0
1772014197.6390746,CALIBRATING,0.0,0
1772014197.6738744,CALIBRATING,0.0,0
1772014197.7049644,CALIBRATING,0.0,0
1772014197.7376382,CALIBRATING,0.0,0
1772014197.7690187,CALIBRATING,0.0,0
1772014197.8016806,CALIBRATING,0.0,0
1772014197.8487782,CALIBRATING,0.0,0
1772014197.8830452,CALIBRATING,0.0,0
1772014197.9125276,CALIBRATING,0.0,0
1772014197.946011,CALIBRATING,0.0,0
1772014197.9768894,CALIBRATING,0.0,0
1772014198.0100405,CALIBRATING,0.0,0
1772014198.0412376,CALIBRATING,0.0,0
1772014198.0721102,CALIBRATING,0.0,0
1772014198.1062994,CALIBRATING,0.0,0
1772014198.137118,CALIBRATING,0.0,0
1772014198.1698506,CALIBRATING,0.0,0
1772014198.200066,CALIBRATING,0.0,0
1772014198.2500072,CALIBRATING,0.0,0
1772014198.2797213,CALIBRATING,0.0,0
1772014198.313253,CALIBRATING,0.0,0
1772014198.347248,CALIBRATING,0.0,0
1772014198.3794472,CALIBRATING,0.0,0
1772014198.4110398,CALIBRATING,0.0,0
1772014198.4434016,CALIBRATING,0.0,0
1772014198.475175,CALIBRATING,0.0,0
1772014198.506454,CALIBRATING,0.0,0
1772014198.539258,CALIBRATING,0.0,0
1772014198.5695596,CALIBRATING,0.0,0
1772014198.6051252,CALIBRATING,0.0,0
1772014198.651647,CALIBRATING,0.0,0
1772014198.6813402,CALIBRATING,0.0,0
1772014198.7146142,CALIBRATING,0.0,0
1772014198.7468667,CALIBRATING,0.0,0
1772014198.776589,CALIBRATING,0.0,0
