time,status,gaze_x,gaze_y
4.874,OUTSIDE,0.3613966,-0.13326201
4.908,OUTSIDE,0.39059967,-0.12442965
4.946,OUTSIDE,0.4088446,-0.10759026
4.971,OUTSIDE,0.41912577,-0.10761298
5.004,OUTSIDE,0.43350035,-0.10078075
5.036,OUTSIDE,0.43477347,-0.087666884
5.062,OUTSIDE,0.4432819,-0.08194788
5.107,OUTSIDE,0.44403756,-0.059066396
5.139,OUTSIDE,0.40054795,-0.012177773
5.167,OUTSIDE,0.3761111,0.019637182
5.193,OUTSIDE,0.33809465,0.035938412
5.225,OUTSIDE,0.34067017,0.052695952
5.283,OUTSIDE,0.34759998,0.058054157
5.308,OUTSIDE,0.36600065,0.055597626
5.339,OUTSIDE,0.34980398,0.050417364
5.370,OUTSIDE,0.357729,0.04356852
5.401,OUTSIDE,0.35221693,0.0593737
5.436,OUTSIDE,0.33202547,0.0721402
5.467,OUTSIDE,0.3030599,0.062345065
5.496,OUTSIDE,0.29417318,0.048310734
5.531,OUTSIDE,0.26649252,0.062858045
5.559,OUTSIDE,0.25458676,0.049434286
5.598,OUTSIDE,0.26441678,0.040902827
5.622,OUTSIDE,0.2990566,0.02204018
5.675,OUTSIDE,0.3542859,0.0019057877
5.706,OUTSIDE,0.3883322,-0.017214535
5.739,OUTSIDE,0.41670558,-0.037153937
5.777,OUTSIDE,0.43869096,-0.04918891
5.808,OUTSIDE,0.45972037,-0.064058706
5.839,OUTSIDE,0.47341558,-0.06353616
5.869,OUTSIDE,0.49237725,-0.076683566
5.898,OUTSIDE,0.5037461,-0.099821076
5.938,OUTSIDE,0.5043801,-0.13029955
5.966,OUTSIDE,0.48145962,-0.13969602
5.997,OUTSIDE,0.42227566,-0.13116734
6.027,OUTSIDE,0.36103487,-0.15678295
6.074,OUTSIDE,0.30963358,-0.18460158
6.114,OUTSIDE,0.2564774,-0.1714086
6.138,OUTSIDE,0.21879198,-0.178653
6.171,OUTSIDE,0.20859873,-0.18614109
6.199,OUTSIDE,0.2091905,-0.1927011
6.234,OUTSIDE,0.19671412,-0.18791811
6.275,OUTSIDE,0.20449677,-0.1923337
6.298,OUTSIDE,0.24510086,-0.20091777
6.325,OUTSIDE,0.24221268,-0.19169223
6.364,OUTSIDE,0.2697442,-0.174541
6.394,OUTSIDE,0.30300552,-0.16927342
6.434,OUTSIDE,0.33075622,-0.16478047
6.473,OUTSIDE,0.35062116,-0.15257168
6.505,OUTSIDE,0.36386743,-0.15360194
6.539,OUTSIDE,0.37160173,-0.14985535
6.571,OUTSIDE,0.37379307,-0.14672004
6.609,OUTSIDE,0.3540868,-0.16920793
6.634,OUTSIDE,0.35164493,-0.19527662
6.666,OUTSIDE,0.33418855,-0.22231375
6.696,OUTSIDE,0.31076306,-0.24153271
6.728,OUTSIDE,0.30103022,-0.25388736
6.770,OUTSIDE,0.28645357,-0.26817524
6.793,OUTSIDE,0.28906733,-0.2686553
6.827,OUTSIDE,0.27859226,-0.27411827
6.875,OUTSIDE,0.28056145,-0.26300097
6.903,OUTSIDE,0.267914,-0.24467197
6.946,OUTSIDE,0.2099153,-0.22297935
6.970,OUTSIDE,0.16122293,-0.19104038
7.004,OUTSIDE,0.1325399,-0.16394067
7.034,OUTSIDE,0.17913046,-0.13823259
7.067,OUTSIDE,0.23942941,-0.11725232
7.104,OUTSIDE,0.28449512,-0.084241845
7.131,OUTSIDE,0.31765246,-0.06749285
7.162,OUTSIDE,0.33243972,-0.06919934
7.194,OUTSIDE,0.35385036,-0.05945333
7.228,OUTSIDE,0.3696435,-0.02121938
7.280,OUTSIDE,0.38934126,-0.01657018
7.307,OUTSIDE,0.4046678,-0.005803838
7.339,OUTSIDE,0.39950278,0.0107230805
7.369,OUTSIDE,0.34893906,0.037425593
7.404,OUTSIDE,0.3103218,0.05278483
7.437,OUTSIDE,0.30160028,0.05357536
7.466,OUTSIDE,0.27978474,0.055181585
7.498,OUTSIDE,0.29816866,0.057175696
7.526,OUTSIDE,0.26804423,0.062819615
7.559,OUTSIDE,0.26098302,0.058503147
7.601,OUTSIDE,0.2691139,0.051792048
7.626,OUTSIDE,0.2848397,0.063427284
